ITR Id,2nd Trade Received Agreement Date,Lead Source,Approximate Gross Monthly household income,Service/Resolution Type 1.1,Service/Resolution Type 2.1,Service/Resolution Type 3.1,Service/Resolution Type 4.1,Service/Resolution Type 5.1,Service/Resolution Type 6.1,Financing Lender Used,Offered Client Financing,Agreed Client Financing,Approved For Financing,Financing Amount Approved,Clients first payment date,Net Net Resolution Costs,Rating
6684233,2024-11-21,Aged DT U30,2820,IRS Representation (6 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,Elevate Finance - Tier 5,Yes,Yes,No,0.0,2024-11-26,26470.0,Tier 5
2391930,2024-09-02,Aged DT U30,4350,IRS Representation (6 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,OIC final resolution,,No,No,No,0.0,2024-09-06,7550.0,Tier 3
9870385,2024-07-01,Aged-FL 60,3860,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Penalty Abatement request,,,Monterey Tier C,Yes,Yes,No,0.0,2024-07-07,3240.0,Tier 5
2473076,2024-07-01,Referral,3640,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,CNC annual review,Fresh Start SLIA compliance,,No,No,No,0.0,2024-07-09,10140.0,Tier 3
8869169,2024-06-09,DT Form DS,2890,IRS Representation (12 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-06-17,2540.0,Tier 1
6307954,2025-04-27,Aged DT U30,4770,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,OIC final resolution,,No,No,No,0.0,2025-05-11,6790.0,Tier 3
7754888,2024-10-17,Referral,5320,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,Hardship re-evaluation support,Hardship compliance monitoring,,No,No,No,0.0,2024-10-21,28890.0,Tier 5
1715572,2024-12-17,PPC Call,8970,IRS Representation (12 Months Max),Analyze and submit IRS financials,Installment Agreement setup and monitoring,Currently Not Collectible (CNC) determination,Hardship re-evaluation support,Fresh Start SLIA compliance,Elevate Finance - Tier 5,Yes,Yes,Yes,63660.0,2024-12-22,74280.0,Tier 2
5519768,2024-07-02,Aged 365 Legacy HAP,3380,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,Fresh Start SLIA compliance,Monterey Poss-Flip,Yes,Yes,Yes,5310.0,2024-07-06,6100.0,Tier 2
1127838,2025-02-06,CL Form,5090,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),File 1040 tax return (no schedules),,,,DecisionFI,Yes,Yes,Yes,5370.0,2025-02-12,7660.0,Tier 5
8133772,2024-09-20,FL Call,20640,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,Hardship compliance monitoring,Monterey Poss-Flip,Yes,No,No,0.0,2024-09-26,70500.0,Tier 3
4418599,2024-12-09,Aged 365 Legacy HAP,6340,IRS Representation (12 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Partial Pay Installment Agreement (PPIA) setup,Fresh Start SLIA renewal,OIC final resolution,Elevate Finance - Tier 5,Yes,Yes,Yes,3370.0,2024-12-22,4280.0,Tier 3
7082268,2024-10-17,PPC Call,6730,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return with Schedule C and State tax return,,,,Monterey Tier B,Yes,No,No,0.0,2024-10-26,5260.0,Tier 1
9964234,2024-10-02,Aged 365 Legacy HAP,6510,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-10-13,9530.0,Tier 1
2355874,2024-11-24,Website Call,1620,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-12-07,13700.0,Tier 5
8752528,2025-02-24,Aged-PI,4190,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,,No,No,No,0.0,2025-03-03,11410.0,Tier 1
9701586,2025-03-19,PPC Call,1220,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,Fresh Start SLIA renewal,Fresh Start SLIA compliance,DecisionFI,Yes,Yes,Yes,21160.0,2025-03-25,23380.0,Tier 4
4323229,2025-01-22,Aged CBG HAP,8600,IRS Representation (12 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Currently Not Collectible (CNC) determination,CNC annual review,OIC final resolution,,No,No,No,0.0,2025-02-03,15020.0,Tier 5
8762825,2025-02-18,Aged 365 Legacy HAP,14840,IRS Representation (3 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-03-02,3580.0,Tier 3
1860969,2024-11-24,Aged CBG HAP,3490,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-12-01,10070.0,Tier 5
6998272,2025-06-04,Aged 365 Legacy HAP,15460,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,DecisionFI,Yes,No,No,0.0,2025-06-08,4520.0,Tier 3
3166605,2025-02-14,Website Call,2370,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-02-26,1360.0,Tier 3
4620914,2024-12-26,Aged DT U30,2260,IRS Representation (12 Months Max),Analyze and submit IRS financials,Currently Not Collectible (CNC) determination,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,Fresh Start SLIA compliance,,No,No,No,0.0,2025-01-04,6220.0,Tier 3
3697976,2025-04-17,CL Form,7040,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,OIC final resolution,,No,No,No,0.0,2025-05-01,1290.0,Tier 3
8410741,2025-06-22,Aged 365 Legacy HAP,2890,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,Monterey Tier B,Yes,Yes,Yes,5940.0,2025-06-30,9390.0,Tier 5
3980060,2024-06-15,Aged 365 Legacy HAP,3560,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,OIC final resolution,Monterey Poss-Flip,Yes,No,No,0.0,2024-06-22,60060.0,Tier 1
9442218,2025-05-10,Aged CBG HAP,9960,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,,Monterey Tier B,Yes,Yes,Yes,5310.0,2025-05-14,7450.0,Tier 4
3953174,2025-06-20,ATL Form,2610,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,,No,No,No,0.0,2025-06-29,8850.0,Tier 3
1621800,2025-02-20,Aged DT U30,4090,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,,No,No,No,0.0,2025-03-01,13560.0,Tier 2
2842011,2024-12-08,PPC Call,4550,IRS Representation (12 Months Max),Analyze and submit IRS financials,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-12-19,10290.0,Tier 4
1390973,2024-10-10,Aged 365 Legacy HAP,6290,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,,Monterey Tier C,Yes,Yes,Yes,2340.0,2024-10-18,2800.0,Tier 3
3872045,2024-09-18,FL Call,7910,IRS Representation (6 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,,Monterey Poss-Flip,Yes,Yes,No,0.0,2024-09-24,69390.0,Tier 4
8947818,2025-03-29,Aged-PI,4590,IRS Representation (6 Months Max),Analyze and submit IRS financials,Installment Agreement setup and monitoring,Hardship determination and filing,Hardship re-evaluation support,OIC final resolution,Monterey Poss-Flip,Yes,Yes,Yes,11730.0,2025-04-12,18470.0,Tier 3
8030041,2025-03-20,CL Form,2250,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2025-03-30,15860.0,Tier 4
2361641,2025-06-15,PPC Call,9480,IRS Representation (12 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-06-19,7970.0,Tier 5
8137367,2024-09-23,ATL Form,31860,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Installment Agreement setup and monitoring,Currently Not Collectible (CNC) determination,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,Monterey Tier B,Yes,Yes,Yes,24330.0,2024-10-01,28170.0,Tier 4
2443157,2025-06-10,Aged DT U30,8380,IRS Representation (3 Months Max),Analyze and submit IRS financials,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,,No,No,No,0.0,2025-06-18,10650.0,Tier 3
3397658,2024-06-26,Aged CBG HAP,7080,IRS Representation (12 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,CNC annual review,Hardship compliance monitoring,Monterey Poss-Flip,Yes,Yes,Yes,6040.0,2024-07-08,7480.0,Tier 5
6197697,2025-02-23,Aged CBG HAP,3850,IRS Representation (6 Months Max),Analyze and submit IRS financials,File 1040 tax return with Schedule C and State tax return,,,,Monterey Tier C,Yes,Yes,Yes,4780.0,2025-03-01,8080.0,Tier 4
1095092,2025-05-31,Self Generated,4170,IRS Representation (12 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Hardship determination and filing,Fresh Start SLIA renewal,OIC final resolution,Flexxbuy,Yes,Yes,Yes,4590.0,2025-06-13,5100.0,Tier 5
7393151,2025-03-21,CL Form,1990,IRS Representation (3 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return with Schedule C and State tax return,,,,Monterey Tier B,Yes,Yes,Yes,1410.0,2025-03-26,2660.0,Tier 4
6531409,2025-03-28,Aged DT U30,7340,IRS Representation (12 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,Monterey Tier B,Yes,Yes,Yes,510.0,2025-04-09,920.0,Tier 4
3278616,2025-01-04,CL Form,4500,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,CNC annual review,Hardship compliance monitoring,,No,No,No,0.0,2025-01-17,5950.0,Tier 3
9781229,2024-07-09,Aged 365 Legacy HAP,11350,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,,Monterey Tier A,Yes,No,No,0.0,2024-07-17,6370.0,Tier 2
7800313,2025-01-30,Aged-PI,2500,IRS Representation (6 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-02-14,6720.0,Tier 2
4368771,2024-11-14,Aged 365 Legacy HAP,11930,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-11-26,7390.0,Tier 3
1929456,2024-06-21,Aged 365 Legacy HAP,4020,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2024-06-27,5030.0,Tier 3
4547293,2025-03-14,Aged 365 Legacy HAP,3300,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Installment Agreement setup and monitoring,Offer in Compromise (OIC) preparation,Fresh Start SLIA renewal,Hardship compliance monitoring,Monterey Tier C,Yes,Yes,Yes,4490.0,2025-03-18,5930.0,Tier 3
8431849,2024-10-27,Aged CBG HAP,3590,IRS Representation (3 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,Monterey Poss-Flip,Yes,Yes,Yes,9580.0,2024-10-30,16140.0,Tier 3
5321417,2025-06-29,Aged-FL 60,3310,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Currently Not Collectible (CNC) determination,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2025-07-07,5130.0,Tier 3
7779130,2024-08-17,FL Call,1260,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,,DecisionFI,Yes,Yes,No,0.0,2024-08-31,15620.0,Tier 1
3119816,2024-07-13,Aged DT U30,7450,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2024-07-19,6770.0,Tier 2
6935921,2024-08-27,Aged CBG HAP,8130,IRS Representation (3 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-08-31,2060.0,Tier 3
8988360,2024-07-04,Aged 365 Legacy,11280,IRS Representation (3 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,AfterPay,Yes,No,No,0.0,2024-07-10,11570.0,Tier 3
1936465,2025-01-03,DT Form DS,7770,IRS Representation (3 Months Max),File 1040X tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,,No,No,No,0.0,2025-01-09,7400.0,Tier 3
3196589,2025-04-25,Self Generated,7530,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,File 1040 tax return (no schedules),,,,Monterey Tier B,Yes,Yes,No,0.0,2025-05-10,6310.0,Tier 3
3523964,2024-09-10,CL Form,1650,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,Hardship compliance monitoring,,No,No,No,0.0,2024-09-15,5870.0,Tier 4
7850128,2024-07-27,Aged PI Free,5540,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,,,,DecisionFI,Yes,No,No,0.0,2024-08-08,1420.0,Tier 1
3086531,2025-03-05,Aged 365 Legacy HAP,2350,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,CNC annual review,Hardship compliance monitoring,,No,No,No,0.0,2025-03-17,8410.0,Tier 4
2618720,2024-07-20,FL Call,4100,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Currently Not Collectible (CNC) determination,Hardship determination and filing,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,,No,No,No,0.0,2024-08-03,7310.0,Tier 3
2991703,2024-07-13,CL Form,12180,IRS Representation (12 Months Max),Analyze and submit IRS financials,Installment Agreement setup and monitoring,Hardship determination and filing,CNC annual review,Hardship compliance monitoring,DecisionFI,Yes,Yes,Yes,11550.0,2024-07-23,13300.0,Tier 2
3410255,2024-11-25,Aged 365 Legacy HAP,5020,IRS Representation (12 Months Max),File 1040 tax return (no schedules),Installment Agreement setup and monitoring,,,,,No,No,No,0.0,2024-11-28,4060.0,Tier 4
5965616,2024-09-13,FL Call,900,IRS Representation (3 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Hardship determination and filing,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2024-09-21,11680.0,Tier 4
3921501,2025-03-24,Aged-PI,2560,IRS Representation (12 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Fresh Start SLIA compliance review,,Fresh Start SLIA compliance,,No,No,No,0.0,2025-03-28,21520.0,Tier 2
3980397,2024-11-18,Aged CBG HAP,3400,IRS Representation (6 Months Max),File 1040X tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,Fresh Start SLIA compliance,,No,No,No,0.0,2024-11-28,17030.0,Tier 4
7876554,2024-09-27,CL Form,4240,IRS Representation (6 Months Max),File 1040 tax return (no schedules),File 1040 tax return (no schedules),,,,,No,No,No,0.0,2024-10-11,6890.0,Tier 5
3441276,2025-01-26,Aged-PI,9040,IRS Representation (12 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Hardship determination and filing,CNC annual review,OIC final resolution,,No,No,No,0.0,2025-02-04,12200.0,Tier 2
4482603,2025-04-18,Self Generated,8470,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-04-26,2480.0,Tier 3
6353718,2024-10-05,Referral,8330,IRS Representation (6 Months Max),File 1040 tax return (no schedules),Currently Not Collectible (CNC) determination,,,,Monterey Tier C,Yes,Yes,Yes,13400.0,2024-10-12,19630.0,Tier 5
9374071,2024-09-10,Aged 365 Legacy HAP,5720,IRS Representation (12 Months Max),File 1040 tax return (no schedules),File 1040 tax return with Schedule C and State tax return,,,,Monterey Tier C,Yes,Yes,No,0.0,2024-09-23,6950.0,Tier 3
4924292,2025-02-22,Aged 365 Legacy,4060,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-03-03,9130.0,Tier 4
5321788,2024-07-28,Aged CBG HAP,3890,IRS Representation (6 Months Max),File 1040 tax return and State tax return (no schedules),Installment Agreement setup and monitoring,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2024-08-03,11720.0,Tier 5
2966512,2025-06-02,Aged 365 Legacy HAP,6510,IRS Representation (3 Months Max),Analyze and submit IRS financials,File 1040 tax return (no schedules),,,,,No,No,No,0.0,2025-06-05,19690.0,Tier 4
7068362,2025-02-23,Aged-PI,9020,IRS Representation (3 Months Max),File 1040X tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Partial Pay Installment Agreement (PPIA) setup,CNC annual review,Hardship compliance monitoring,,No,No,No,0.0,2025-03-08,3810.0,Tier 3
4119755,2025-01-09,Aged 365 Legacy,13480,IRS Representation (12 Months Max),File 1040 tax return and State tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Partial Pay Installment Agreement (PPIA) setup,Fresh Start SLIA renewal,OIC final resolution,,No,No,No,0.0,2025-01-12,2830.0,Tier 4
2214493,2024-06-05,PPC Call,5220,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,,,,No,No,No,0.0,2024-06-17,17210.0,Tier 3
9409291,2024-11-18,CL Form,5950,IRS Representation (12 Months Max),File 1040 tax return with Schedule C and State tax return,Partial Pay Installment Agreement (PPIA) setup,Offer in Compromise (OIC) preparation,Hardship re-evaluation support,OIC final resolution,,No,No,No,0.0,2024-11-30,7640.0,Tier 4
5827044,2024-06-05,ATL Form,12910,IRS Representation (3 Months Max),File 1040 tax return (no schedules),Partial Pay Installment Agreement (PPIA) setup,Partial Pay Installment Agreement (PPIA) setup,OIC follow-up and IRS negotiation,Fresh Start SLIA compliance,Monterey Tier C,Yes,Yes,Yes,5830.0,2024-06-09,10310.0,Tier 5
1187040,2024-12-09,Aged-FL 60,2420,IRS Representation (3 Months Max),Analyze and submit IRS financials,Fresh Start SLIA submission and monitoring,Offer in Compromise (OIC) preparation,OIC follow-up and IRS negotiation,Hardship compliance monitoring,,No,No,No,0.0,2024-12-23,14240.0,Tier 3
1799898,2025-06-21,Aged 365 Legacy HAP,8380,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2025-06-29,2410.0,Tier 3
6661219,2025-05-31,Aged 365 Legacy HAP,2940,IRS Representation (12 Months Max),File 1040 tax return (no schedules),Fresh Start SLIA submission and monitoring,Fresh Start SLIA submission and monitoring,Fresh Start SLIA renewal,Fresh Start SLIA compliance,,No,No,No,0.0,2025-06-09,38280.0,Tier 4
4629283,2024-09-23,PPC Call,13850,IRS Representation (6 Months Max),File 1040 tax return with Schedule C and State tax return,Fresh Start SLIA submission and monitoring,Hardship determination and filing,Fresh Start SLIA renewal,OIC final resolution,,No,No,No,0.0,2024-09-26,22140.0,Tier 4
